movieId;year;genres[,];actors[,];contentRating;duration;imdbRating
b9cc8211-ab7d-4f20-a072-8191f3f039fc;2002;Biography,Drama,War;Adrien Brody,Thomas Kretschmann,Frank Finlay;15;PT150M;8.5
8d06618e-342e-4651-8e8f-26108e570ff0;2006;Crime,Drama,Thriller;Leonardo DiCaprio,Matt Damon,Jack Nicholson;15;PT151M;8.5
8ead88c8-90c7-410a-ab08-08f6b3d45197;1991;Action,Sci-Fi,Thriller;Arnold Schwarzenegger,Linda Hamilton,Edward Furlong;15;PT137M;8.5
6272bec0-a018-4148-b4b2-505733bac79f;1985;Adventure,Comedy,Sci-Fi;Michael J. Fox,Christopher Lloyd,Lea Thompson;11;PT116M;8.5
a214a156-dfa7-45f8-81eb-64eb3c3ed9e0;2014;Drama,Music;Miles Teller,J.K. Simmons,Melissa Benoist;15;PT107M;8.5
63993fc5-a4bb-4ea2-bc8b-c142e3d0216d;2000;Action,Adventure,Drama;Russell Crowe,Joaquin Phoenix,Connie Nielsen;15;PT155M;8.5
72b5139a-d9fb-4eaf-91a7-f830da9fe7df;2000;Mystery,Thriller;Guy Pearce,Carrie-Anne Moss,Joe Pantoliano;15;PT113M;8.5
ea945a42-3db5-4e20-9be1-867cdd8ac6bc;1979;Drama,War;Martin Sheen,Marlon Brando,Robert Duvall;15;PT153M;8.5
72bc9c74-bf06-4a64-b652-676055f913b2;2006;Drama,Mystery,Sci-Fi;Christian Bale,Hugh Jackman,Scarlett Johansson;11;PT130M;8.5
e0373cea-2886-4478-94c2-a7be74e37a01;1994;Animation,Adventure,Drama;Matthew Broderick,Jeremy Irons,James Earl Jones;7;PT88M;8.5
2118e1a3-bc72-4c7c-830b-bb8039f606d5;1979;Horror,Sci-Fi;Sigourney Weaver,Tom Skerritt,John Hurt;15;PT117M;8.5
9e34e4d6-d74e-4717-8ee0-551422289790;1964;Comedy;Peter Sellers,George C. Scott,Sterling Hayden;11;PT95M;8.5
a63acde1-75ba-4054-bc1e-560c3f8542f2;1950;Drama,Film-Noir;William Holden,Gloria Swanson,Erich von Stroheim;15;PT110M;8.5
f09e880e-fddc-4bc5-ac3d-8e9e14f72157;1940;Comedy,Drama,War;Charles Chaplin,Paulette Goddard,Jack Oakie;;PT125M;8.5
8994238a-0eef-4d05-9b60-8d96bdd756b2;1988;Drama;Philippe Noiret,Enzo Cannavale,Antonella Attili;11;PT155M;8.5
028f80cb-e9e8-4b28-bf7b-3e72ed33de1a;2006;Drama,Thriller;Ulrich Mühe,Martina Gedeck,Sebastian Koch;7;PT137M;8.5
4b11a9e3-7b22-4698-8c55-1d419a5869a9;1988;Animation,Drama,War;Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi;11;PT89M;8.5
c8dd365d-f122-4a72-9709-72b7f5594e4d;1957;Drama,War;Kirk Douglas,Ralph Meeker,Adolphe Menjou;15;PT88M;8.5
eea8e6c9-5620-4519-89a4-0ebe16ee2ea3;2012;Drama,Western;Jamie Foxx,Christoph Waltz,Leonardo DiCaprio;15;PT165M;8.4
41f4d22b-06e9-4a15-9528-56d07921bb54;1980;Drama,Horror;Jack Nicholson,Shelley Duvall,Danny Lloyd;15;PT146M;8.4
098c0439-1e32-4bc8-bbc2-1bd7c1ec9bce;2016;Comedy,Drama,Musical;Ryan Gosling,Emma Stone,Rosemarie DeWitt;Btl;PT128M;8.5
15db8aa9-f2c9-44dc-ac55-ef35d7ef2842;2008;Animation,Adventure,Family;Ben Burtt,Elissa Knight,Jeff Garlin;Btl;PT98M;8.4
40eff605-f6d2-4d07-b01b-7239c015a298;1999;Drama,Romance;Kevin Spacey,Annette Bening,Thora Birch;15;PT122M;8.4
3e34ed16-1810-48c5-aa7b-4aeca4aa933c;2012;Action,Thriller;Christian Bale,Tom Hardy,Anne Hathaway;15;PT164M;8.5
9edb0895-f327-4893-ab90-9f0f2004c4f8;1997;Animation,Adventure,Fantasy;Yôji Matsuda,Yuriko Ishida,Yûko Tanaka;11;PT134M;8.4
7defef53-2d7d-415e-aa91-81ab217aaae8;1986;Action,Adventure,Sci-Fi;Sigourney Weaver,Michael Biehn,Carrie Henn;15;PT137M;8.4
fbba7239-b9fc-4cfb-bcaf-bbeb06ea7c85;2003;Drama,Mystery,Thriller;Min-sik Choi,Ji-tae Yu,Hye-jeong Kang;15;PT120M;8.4
3b95556f-4c33-437f-93f5-47fd3110224e;1984;Crime,Drama;Robert De Niro,James Woods,Elizabeth McGovern;15;PT229M;8.4
0617869e-553c-48c5-9937-1eda1b34ed41;1941;Drama,Mystery;Orson Welles,Joseph Cotten,Dorothy Comingore;15;PT119M;8.4
238049a8-acf2-48a8-a863-99bfb6fc0b0b;1981;Adventure,Drama,Thriller;Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann;15;PT149M;8.4
8c9e3b7a-c9f8-47c6-9487-506a29a69e4c;1957;Crime,Drama,Mystery;Tyrone Power,Marlene Dietrich,Charles Laughton;15;PT116M;8.4
a9259b9c-891f-4458-81c0-a7b22567e6b7;1959;Action,Adventure,Mystery;Cary Grant,Eva Marie Saint,James Mason;15;PT136M;8.4
139eb946-5565-47ab-88be-c5e94a8d1074;1958;Mystery,Romance,Thriller;James Stewart,Kim Novak,Barbara Bel Geddes;15;PT128M;8.4
b297c9b9-96c5-4d6c-b526-d329d50d9a36;1983;Action,Adventure,Fantasy;Mark Hamill,Harrison Ford,Carrie Fisher;11;PT131M;8.4
f69fa56f-f8b8-4dee-83d6-74271a63d880;1992;Crime,Drama,Thriller;Harvey Keitel,Tim Roth,Michael Madsen;15;PT99M;8.4
8417a86e-2b07-4c95-ad25-3bc67d000046;1931;Crime,Drama,Mystery;Peter Lorre,Ellen Widmann,Inge Landgut;15;PT117M;8.4
a1336467-5432-4130-9ec4-bde01e32dfa1;1995;Biography,Drama,History;Mel Gibson,Sophie Marceau,Patrick McGoohan;15;PT178M;8.4
6102d70c-8958-4ab8-9f96-2be563e675c3;2000;Drama;Ellen Burstyn,Jared Leto,Jennifer Connelly;15;PT102M;8.4
f248b6f6-ef73-4a40-8b26-58c1d0d2fb45;2001;Comedy,Romance;Audrey Tautou,Mathieu Kassovitz,Rufus;7;PT122M;8.4
0456b1b2-4f6a-4026-b8db-f4f76f11c835;1971;Crime,Drama,Sci-Fi;Malcolm McDowell,Patrick Magee,Michael Bates;15;PT136M;8.3
0925d09d-21b1-4755-8475-8092186f641b;1976;Crime,Drama;Robert De Niro,Jodie Foster,Cybill Shepherd;15;PT113M;8.3
5af9abf6-5989-4ec6-a48e-c1dee261751e;2007;Drama,Family,Music;Darsheel Safary,Aamir Khan,Tanay Chheda;PG;PT165M;8.5
5ef3eddd-2cc8-453f-a36a-11a1d3a06733;1962;Adventure,Biography,Drama;Peter O'Toole,Alec Guinness,Anthony Quinn;15;PT216M;8.3
f95cb2be-65d2-47b9-b627-d83b2b1ca62b;1944;Crime,Drama,Film-Noir;Fred MacMurray,Barbara Stanwyck,Edward G. Robinson;15;PT107M;8.4
2013ec9d-de74-4c19-b9ce-c45889d01ea7;2004;Drama,Romance,Sci-Fi;Jim Carrey,Kate Winslet,Tom Wilkinson;11;PT108M;8.3
a1a9059f-f65b-4b1b-a34e-ea522f7bcef1;1962;Crime,Drama;Gregory Peck,John Megna,Frank Overton;15;PT129M;8.3
7b9b4604-8882-4ea8-b587-b92b7365e4db;1984;Biography,Drama,History;F. Murray Abraham,Tom Hulce,Elizabeth Berridge;11;PT160M;8.3
1ec1fa49-920f-4068-8641-e1c12d3abc15;2010;Animation,Adventure,Comedy;Tom Hanks,Tim Allen,Joan Cusack;7;PT103M;8.3
4ec0965c-a49e-47e6-b208-3e003e72aae7;1987;Drama,War;Matthew Modine,R. Lee Ermey,Vincent D'Onofrio;15;PT116M;8.3
9ea366ff-3719-48e0-bd1a-8047a72c5a1a;2016;Action,Biography,Drama;Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh;;PT161M;8.9
d125c724-f02d-466c-bb0a-0ff705132c79;1973;Comedy,Crime,Drama;Paul Newman,Robert Redford,Robert Shaw;15;PT129M;8.3
bb5e390b-3ba1-4e1a-9d98-09c45ce1ebf9;1968;Adventure,Sci-Fi;Keir Dullea,Gary Lockwood,William Sylvester;11;PT149M;8.3
52cf38a1-b9e4-4f62-9ed7-8f060f9b8e24;2005;Drama;Fikret Kuskan,Çetin Tekindor,Hümeyra;;PT108M;8.6
6cf4c600-8d5a-4c2a-8082-290389a83040;1952;Comedy,Musical,Romance;Gene Kelly,Donald O'Connor,Debbie Reynolds;Btl;PT103M;8.3
b7ea52ea-746a-4253-b296-1bf44fdb44dc;1995;Animation,Adventure,Comedy;Tom Hanks,Tim Allen,Don Rickles;7;PT81M;8.3
88e9d202-fc64-498d-8a09-6e8011bae8fb;1948;Drama;Lamberto Maggiorani,Enzo Staiola,Lianella Carell;Btl;PT89M;8.3
5037e2ba-562f-4a53-ae97-79e7743c1637;1921;Comedy,Drama,Family;Charles Chaplin,Edna Purviance,Jackie Coogan;;PT68M;8.3
264fe4bf-33e4-47dc-beed-e021b0ee9c39;2009;Adventure,Drama,War;Brad Pitt,Diane Kruger,Eli Roth;15;PT153M;8.3
b676da3d-5242-442c-9f10-bb8a7fdd1063;2000;Comedy,Crime;Jason Statham,Brad Pitt,Benicio Del Toro;15;PT104M;8.3
ddcd6c62-45dc-4dda-99b2-1e617600609d;1975;Adventure,Comedy,Fantasy;Graham Chapman,John Cleese,Eric Idle;15;PT91M;8.3
163f5167-fc5d-43ef-ad92-3a3bd821a4d5;2009;Comedy,Drama;Aamir Khan,Madhavan,Mona Singh;11;PT170M;8.4
7e354d2b-2e77-48ad-bbec-8b707b36c11a;1997;Crime,Drama,Mystery;Kevin Spacey,Russell Crowe,Guy Pearce;15;PT138M;8.3
006b3455-f930-497c-8a54-2269dee55d8f;1965;Western;Clint Eastwood,Lee Van Cleef,Gian Maria Volontè;;PT132M;8.3
5f2540bd-e814-4dbf-84a3-57f0f2c7b3e8;1983;Crime,Drama;Al Pacino,Michelle Pfeiffer,Steven Bauer;15;PT170M;8.3
ffa434f9-3c83-4b81-8a73-de98f341e47b;2012;Drama;Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp;15;PT115M;8.3
ecb0a6ae-799e-4aa9-ad32-4afed238886f;1950;Crime,Drama,Mystery;Toshirô Mifune,Machiko Kyô,Masayuki Mori;;PT88M;8.3
2a4e6a5e-310b-4418-beea-7c3d52f56b49;1960;Comedy,Drama,Romance;Jack Lemmon,Shirley MacLaine,Fred MacMurray;15;PT125M;8.3
3eac3736-95d8-4e3a-90fd-c4b0d098aa91;1997;Drama;Robin Williams,Matt Damon,Ben Affleck;11;PT126M;8.3
bcc23495-5090-41f8-bbda-b13e8627b749;2011;Drama,Mystery;Peyman Moaadi,Leila Hatami,Sareh Bayat;15;PT123M;8.4
a8b4584d-6c86-419f-9999-509e6bcb8c7e;1989;Action,Adventure,Fantasy;Harrison Ford,Sean Connery,Alison Doody;15;PT127M;8.3
589bb4e1-ee5e-4a04-b906-337b3aa1115b;1927;Drama,Sci-Fi;Brigitte Helm,Alfred Abel,Gustav Fröhlich;15;PT153M;8.3
8f2e8251-db3d-4670-a688-6fd956ee6bf5;1950;Drama;Bette Davis,Anne Baxter,George Sanders;;PT138M;8.3
80a11fa9-cb16-4b4a-afef-35d9e31ff81d;1961;Action,Drama,Thriller;Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai;15;PT110M;8.3
7c6e579f-607a-4344-81b5-dff892c26829;2005;Action,Adventure;Christian Bale,Michael Caine,Ken Watanabe;11;PT140M;8.3
9abacd2c-843e-4ed8-919a-414069bb1864;2009;Animation,Adventure,Comedy;Edward Asner,Jordan Nagai,John Ratzenberger;7;PT96M;8.3
0891333f-3136-4748-9f1f-69ba3f039266;1959;Comedy,Romance;Marilyn Monroe,Tony Curtis,Jack Lemmon;15;PT120M;8.3
4299a7ae-026d-402f-b397-0f5a70ee6d2a;1948;Adventure,Drama,Western;Humphrey Bogart,Walter Huston,Tim Holt;;PT126M;8.3
6f03301b-1fb9-4e29-a48e-ed4a90eb946d;1992;Drama,Western;Clint Eastwood,Gene Hackman,Morgan Freeman;15;PT131M;8.3
d5fe7949-7cb8-4e9e-aea1-59310ad31738;2004;Biography,Drama,History;Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes;15;PT156M;8.3
27502dfb-6305-4485-b215-a84395fba12f;1980;Biography,Drama,Sport;Robert De Niro,Cathy Moriarty,Joe Pesci;15;PT129M;8.2
275e2255-2440-4295-a8ea-457bc3470ac6;1949;Film-Noir,Mystery,Thriller;Orson Welles,Joseph Cotten,Alida Valli;15;PT104M;8.3
93867848-2624-4e94-8e35-869bb8dd6870;1988;Action,Thriller;Bruce Willis,Alan Rickman,Bonnie Bedelia;15;PT131M;8.2
02247d03-3b10-4d3d-854e-4ad313d2ddfc;1997;Drama,Family;Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi;PG;PT89M;8.4
a74b55ad-4a72-4d09-bd3c-4c6e7f53a4f2;1995;Action,Crime,Drama;Al Pacino,Robert De Niro,Val Kilmer;15;PT170M;8.2
4a93b6cc-ce86-4977-8adb-faa1d6b9f9c7;1963;Adventure,Drama,History;Steve McQueen,James Garner,Richard Attenborough;15;PT172M;8.2
b90c5292-e9d7-409b-9448-dc46406c15ec;1974;Drama,Mystery,Thriller;Jack Nicholson,Faye Dunaway,John Huston;15;PT130M;8.2
3382e7f8-5401-4df7-998c-17d212afe1ac;2006;Drama,Fantasy,War;Ivana Baquero,Ariadna Gil,Sergi López;15;PT118M;8.2
f802ee66-6ffc-4f28-b6eb-7d187338124e;2015;Animation,Adventure,Comedy;Amy Poehler,Bill Hader,Lewis Black;7;PT95M;8.2
0a7d6aa2-b763-42a4-ab9f-1188303d3675;1952;Drama;Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori;11;PT143M;8.3
45446fe4-1f42-4ddb-81b7-6164690f2ff6;1988;Animation,Family,Fantasy;Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto;Btl;PT86M;8.2
494ae973-30b6-47f1-b550-0e25aa880caf;1954;Crime,Drama,Thriller;Marlon Brando,Karl Malden,Lee J. Cobb;15;PT108M;8.2
fbc58e31-91c3-4cbd-be80-1176d99f14e5;1985;Action,Drama;Tatsuya Nakadai,Akira Terao,Jinpachi Nezu;15;PT162M;8.2
27d2db08-bff5-44d9-9a1a-8f6cb51f0c7b;2015;Drama;Brie Larson,Jacob Tremblay,Sean Bridgers;15;PT118M;8.2
f0700a34-6600-4a53-a818-a239220f0323;1925;Adventure,Comedy,Drama;Charles Chaplin,Mack Swain,Tom Murray;;PT95M;8.2
1f12995e-b7bd-49ee-9050-f82f6e354727;2016;Drama,History,War;Andrew Garfield,Sam Worthington,Luke Bracey;15;PT139M;8.3
c0458d60-ce47-4d02-8447-9f8d6a576808;2009;Drama,Mystery,Thriller;Ricardo Darín,Soledad Villamil,Pablo Rago;15;PT129M;8.2
45bfbe14-de99-4643-9cff-84ebca187ec6;1957;Adventure,Drama,War;William Holden,Alec Guinness,Jack Hawkins;15;PT161M;8.2
b85ed5d8-dfdd-4122-9e56-5a381573200f;1982;Sci-Fi,Thriller;Harrison Ford,Rutger Hauer,Sean Young;15;PT117M;8.2
a9bbc297-73e3-44a0-9981-c83e6b48a889;1939;Comedy,Drama;James Stewart,Jean Arthur,Claude Rains;Btl;PT129M;8.2
b37752ed-79f3-4ee0-8d4c-8088327fc850;2004;Animation,Adventure,Family;Chieko Baishô,Takuya Kimura,Tatsuya Gashûin;7;PT119M;8.2
c52c68ae-1486-482e-9209-26f18f8c48d9;1957;Drama,Fantasy;Max von Sydow,Gunnar Björnstrand,Bengt Ekerot;15;PT96M;8.2
46e49ac2-8e38-4943-a4e1-b342faeb72a1;1998;Comedy,Crime;Jason Flemyng,Dexter Fletcher,Nick Moran;15;PT107M;8.2
bc060d40-4683-4349-9850-4d669e4e0a10;1961;Drama,War;Spencer Tracy,Burt Lancaster,Richard Widmark;15;PT186M;8.3
aa5a56fe-dc41-4ee0-8004-3cfa09e348f3;1995;Biography,Crime,Drama;Robert De Niro,Sharon Stone,Joe Pesci;R;PT178M;8.2
4ebd0731-b99d-449c-b9db-d3f7ef37aecc;2010;Drama,Mystery,War;Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette;15;PT131M;8.2
a352887f-dd10-4fa4-8865-59805bf5c23c;2001;Biography,Drama;Russell Crowe,Ed Harris,Jennifer Connelly;11;PT135M;8.2
fc175ca6-8f62-475c-a5cf-d927a53ef11e;1996;Crime,Drama,Thriller;Sener Sen,Ugur Yücel,Sermin Hürmeriç;;PT128M;8.5
53c67517-9ea3-47ff-b5b8-ef7c76d2665f;1980;Biography,Drama;Anthony Hopkins,John Hurt,Anne Bancroft;15;PT124M;8.2
d3e0826a-cbc6-4e50-b4df-7b1588d731e1;1957;Drama,Romance;Victor Sjöström,Bibi Andersson,Ingrid Thulin;15;PT91M;8.2
b1a2eea2-5a89-4bc1-9888-9803792fd427;1926;Action,Adventure,Comedy;Buster Keaton,Marion Mack,Glen Cavender;Btl;PT67M;8.2
